Administrative;Administrative_Duration;Informational;Informational_Duration;ProductRelated;ProductRelated_Duration;BounceRates;ExitRates;PageValues;SpecialDay;Month;OperatingSystems;Browser;Region;TrafficType;VisitorType;Weekend
1;32.7;0;0.0;27;687.1966667;0.0;0.019393939;0.0;0.0;Nov;3;2;1;1;Returning_Visitor;False
0;0.0;0;0.0;8;459.0;0.0;0.028571429;26.98;0.0;May;2;4;3;2;Returning_Visitor;False
0;0.0;0;0.0;1;0.0;0.2;0.2;0.0;0.8;May;2;2;1;1;Returning_Visitor;False
10;229.0;0;0.0;27;760.7708332999999;0.011764706000000002;0.012941176;41.2169154;0.0;Nov;2;2;3;10;Returning_Visitor;False
2;196.6;0;0.0;31;1514.3;0.036363636;0.066666667;0.0;0.0;Aug;1;8;7;1;Returning_Visitor;True
10;85.04;0;0.0;114;2139.156647;0.0;0.009414895;0.0;0.0;Nov;2;2;3;2;Returning_Visitor;False
0;0.0;0;0.0;5;52.0;0.0;0.02;0.0;0.0;Mar;2;4;7;2;Returning_Visitor;False
2;90.0;0;0.0;3;202.83333330000002;0.0;0.013333333000000001;0.0;0.0;May;3;2;7;2;Returning_Visitor;False
0;0.0;0;0.0;17;287.5;0.066666667;0.087037037;0.0;0.8;May;3;2;4;13;Returning_Visitor;False
8;157.0;4;60.0;24;1192.5;0.015151515;0.033760684;5.689554113;0.0;May;2;2;1;7;Returning_Visitor;False
0;0.0;0;0.0;30;312.3333333;0.0;0.008888889;0.0;0.0;Mar;2;6;1;2;Returning_Visitor;False
2;70.0;0;0.0;11;714.5;0.014285714;0.028571429;0.0;0.0;May;2;2;2;6;Returning_Visitor;True
0;0.0;0;0.0;1;0.0;0.2;0.2;0.0;0.8;May;3;2;1;2;Returning_Visitor;False
6;95.6;0;0.0;12;582.7333332999999;0.014285714;0.035714286;21.32413414;0.0;Sep;2;2;8;7;Returning_Visitor;False
0;0.0;0;0.0;12;749.8;0.0;0.015384615;23.00459544;0.0;Jul;2;2;1;4;New_Visitor;False
1;79.0;0;0.0;22;1017.166667;0.013043478;0.022318841000000002;0.0;0.0;Nov;1;1;1;2;Returning_Visitor;True
0;0.0;2;111.9;25;360.5111111;0.065384615;0.066783217;0.0;0.0;Jul;3;2;4;3;Returning_Visitor;False
0;0.0;0;0.0;18;920.0;0.12222222199999999;0.144444444;0.0;1.0;May;3;2;7;4;Returning_Visitor;True
0;0.0;0;0.0;2;0.0;0.2;0.2;0.0;0.0;Nov;1;1;9;1;Returning_Visitor;False
0;0.0;0;0.0;24;255.3222222;0.025;0.038888888999999996;0.0;0.6;May;2;2;8;1;Returning_Visitor;False
1;150.2;1;31.7;7;93.9;0.0;0.005555556;0.0;0.0;Oct;1;2;3;2;New_Visitor;True
1;67.4;0;0.0;18;297.5;0.031578947;0.040350877;0.0;0.0;Oct;2;2;3;4;Returning_Visitor;False
5;543.0;6;320.5;20;2039.0;0.0;0.016296296000000002;25.38925926;0.0;May;2;2;1;2;Returning_Visitor;False
0;0.0;0;0.0;3;11.0;0.033333333;0.166666667;0.0;0.6;May;2;4;1;6;Returning_Visitor;False
6;184.32;0;0.0;8;163.22;0.0;0.018181818;0.0;0.0;Nov;1;1;1;2;New_Visitor;False
1;4.0;0;0.0;13;2123.5;0.015384615;0.030769231;42.74590431;0.0;Nov;2;2;1;3;Returning_Visitor;False
0;0.0;0;0.0;38;1593.583333;0.0;0.010526316;0.0;0.0;Nov;2;2;2;1;Returning_Visitor;False
7;301.7;6;336.5;42;1981.016667;0.005660376999999999;0.021383647999999998;13.00183962;0.0;Mar;1;1;2;2;Returning_Visitor;True
3;152.0;0;0.0;9;117.0;0.0;0.016666667;0.0;0.0;May;2;2;1;5;New_Visitor;True
0;0.0;0;0.0;19;172.11111110000002;0.042105263;0.051929825;0.0;1.0;May;3;2;1;3;Returning_Visitor;True
3;69.6;0;0.0;9;199.1333333;0.0;0.006060606;0.0;0.0;Jul;1;1;1;2;New_Visitor;False
0;0.0;0;0.0;0;0.0;0.18;0.181818182;0.0;0.0;June;2;2;7;6;Returning_Visitor;False
0;0.0;0;0.0;1;0.0;0.2;0.2;0.0;0.0;May;2;2;1;13;Returning_Visitor;False
3;30.75;0;0.0;17;473.16666669999995;0.013333333000000001;0.0225;0.0;0.0;Nov;1;2;3;3;Returning_Visitor;False
9;255.8666667;0;0.0;19;716.95;0.00952381;0.017346939;0.0;0.0;May;1;2;3;2;Returning_Visitor;False
1;18.0;0;0.0;24;1571.0;0.0;0.016666667;0.0;0.0;Mar;2;2;2;3;Returning_Visitor;False
0;0.0;0;0.0;19;346.1333333;0.0;0.039473684;0.0;0.0;Aug;2;2;1;3;Returning_Visitor;False
0;0.0;0;0.0;22;821.8933333;0.001515152;0.042424242;0.0;0.0;Jul;2;4;6;1;Returning_Visitor;False
0;0.0;0;0.0;27;444.1;0.0;0.016;0.0;0.6;May;2;2;4;3;Returning_Visitor;False
12;81.5;0;0.0;61;2202.5791670000003;0.005797101;0.017153855;0.0;0.0;Mar;2;2;1;1;Returning_Visitor;False
0;0.0;0;0.0;5;1474.5;0.0;0.02;0.0;0.0;May;1;1;1;3;Returning_Visitor;False
0;0.0;0;0.0;4;52.3;0.0;0.1;0.0;0.0;Aug;2;2;6;5;Returning_Visitor;False
7;156.9;0;0.0;32;1123.691667;0.002702703;0.011312741000000001;6.587999999999999;0.0;May;3;5;7;2;New_Visitor;False
4;64.6;0;0.0;32;1135.444444;0.002857143;0.00952381;0.0;0.0;Feb;2;2;1;3;Returning_Visitor;False
0;0.0;0;0.0;70;1453.9;0.010144928000000001;0.020772947;0.0;0.4;May;2;6;7;3;Returning_Visitor;False
5;325.3333333;4;94.0;39;1603.5;0.005;0.0115625;0.0;0.0;May;1;1;1;3;Returning_Visitor;False
0;0.0;0;0.0;8;321.0;0.0;0.05;0.0;0.2;May;2;2;3;4;Returning_Visitor;False
2;94.0;0;0.0;25;893.1;0.0;0.009615385;0.0;0.0;Mar;2;4;4;1;Returning_Visitor;False
0;0.0;0;0.0;20;2065.15;0.005;0.034444444;0.0;0.8;May;1;1;1;3;Returning_Visitor;False
0;0.0;0;0.0;4;388.0;0.05;0.075;0.0;0.0;Mar;2;2;6;1;Returning_Visitor;False
1;15.8;3;97.8;32;1213.65;0.005405405;0.024324323999999998;1.273317415;0.0;Aug;2;2;3;2;Returning_Visitor;False
1;5.0;0;0.0;15;228.8;0.01875;0.06875;0.0;0.0;Nov;2;2;1;1;Returning_Visitor;False
1;62.0;1;172.0;58;1341.261111;0.004597701;0.009827586;0.0;0.0;May;3;2;4;4;Returning_Visitor;False
1;137.5;1;59.4;53;1844.65;0.022641509;0.049595687;0.0;0.0;June;4;2;1;3;Returning_Visitor;False
0;0.0;0;0.0;6;69.5;0.0;0.033333333;0.0;0.0;Mar;2;2;7;1;Returning_Visitor;False
3;180.4;0;0.0;12;2646.4;0.042857143;0.052380952;0.0;0.0;Oct;2;2;2;20;Returning_Visitor;False
5;318.0;0;0.0;36;1837.9666670000001;0.032894737;0.044423559;0.0;0.4;May;3;2;1;11;Returning_Visitor;False
5;206.0;0;0.0;15;650.6961927;0.0;0.018487395;0.0;0.0;Mar;1;1;1;3;New_Visitor;False
0;0.0;0;0.0;31;1759.4166670000002;0.0;0.0029032259999999996;0.0;0.0;Mar;2;2;4;2;Returning_Visitor;True
0;0.0;0;0.0;3;164.0;0.0;0.1;0.0;0.0;May;3;2;1;3;Returning_Visitor;False
0;0.0;0;0.0;1;14.0;0.0;0.1;0.0;0.8;May;2;2;3;3;Returning_Visitor;False
0;0.0;0;0.0;4;25.0;0.05;0.1;0.0;0.0;May;3;2;3;3;Returning_Visitor;False
1;19.0;0;0.0;7;115.66666670000001;0.0;0.028571429;0.0;0.0;Mar;3;2;2;10;Returning_Visitor;False
0;0.0;0;0.0;25;701.8833333;0.0;0.023333332999999998;0.0;0.0;Sep;2;2;1;2;Returning_Visitor;False
0;0.0;0;0.0;16;680.75;0.0;0.014285714;0.0;0.0;May;2;2;1;2;Returning_Visitor;False
1;61.5;0;0.0;13;949.75;0.0;0.007692308;51.75775772;0.0;Dec;1;1;1;2;New_Visitor;False
5;170.25;0;0.0;55;3057.0458329999997;0.011666667;0.018737892;0.0;0.0;Nov;2;2;4;2;Returning_Visitor;False
2;20.2;0;0.0;14;1261.316667;0.0;0.009183673;0.0;0.0;Aug;2;2;1;5;Returning_Visitor;False
0;0.0;0;0.0;5;28.0;0.12;0.16;0.0;0.4;May;3;2;4;3;Returning_Visitor;False
0;0.0;0;0.0;11;267.5666667;0.0;0.009090909;7.68745056;0.0;Oct;2;2;1;3;New_Visitor;False
5;172.08333330000002;0;0.0;21;486.1472222;0.0;0.0105;48.0136549;0.0;Nov;2;2;4;1;Returning_Visitor;False
10;299.60317460000005;2;166.0;86;2559.541228;0.008333333;0.008587569;2.087782738;0.0;May;3;2;7;5;Returning_Visitor;False
1;113.66666670000001;1;2.0;16;589.6666667000001;0.0;0.003632479;0.0;0.0;May;3;2;6;11;New_Visitor;True
2;58.0;0;0.0;7;101.8;0.0;0.011111111000000002;0.0;0.0;Mar;3;2;8;2;New_Visitor;False
0;0.0;0;0.0;6;61.0;0.0;0.066666667;0.0;0.0;Mar;2;4;1;3;Returning_Visitor;False
10;290.3333333;0;0.0;60;2818.0944440000003;0.016666667;0.018387096999999998;2.050814516;0.0;May;1;1;6;2;Returning_Visitor;False
2;16.0;0;0.0;29;1412.5;0.007142857;0.046428570999999995;0.0;0.0;May;2;2;6;13;Returning_Visitor;False
0;0.0;0;0.0;8;134.0;0.0;0.025;0.0;0.0;May;2;2;1;2;Returning_Visitor;False
0;0.0;0;0.0;2;37.5;0.0;0.033333333;0.0;0.0;Mar;3;2;4;3;Returning_Visitor;True
1;28.0;0;0.0;115;1822.008117;0.001169591;0.007901699;0.0;0.0;May;2;2;2;2;Returning_Visitor;False
2;32.0;0;0.0;7;164.5;0.0;0.008333333;0.0;0.4;May;2;2;1;4;Returning_Visitor;False
4;179.6071429;2;5.5;34;1045.1023810000002;0.0;0.007603276;0.0;0.0;Mar;1;1;1;3;Returning_Visitor;False
5;661.0;3;373.0;36;1381.75;0.0;0.018421053;6.812105262999999;0.0;May;2;4;2;4;Returning_Visitor;False
0;0.0;0;0.0;3;40.4;0.0;0.066666667;0.0;0.0;June;2;2;1;4;Returning_Visitor;True
0;0.0;0;0.0;21;530.5833333;0.019047619;0.021428571;0.0;0.0;Nov;3;2;4;3;Returning_Visitor;False
0;0.0;0;0.0;6;218.0;0.0;0.066666667;0.0;0.0;Mar;2;2;3;1;Returning_Visitor;False
0;0.0;0;0.0;7;1803.6666670000002;0.082142857;0.08;0.0;0.0;Dec;2;5;1;8;Returning_Visitor;True
0;0.0;0;0.0;5;291.2;0.18;0.18666666699999998;0.0;0.0;Oct;3;2;8;20;Returning_Visitor;False
6;81.12;0;0.0;26;2134.103333;0.0;0.014583333;13.38353821;0.0;Jul;2;2;1;6;Returning_Visitor;False
0;0.0;0;0.0;17;341.6666667;0.011764706000000002;0.041176471;0.0;0.0;Mar;2;6;9;6;Returning_Visitor;False
0;0.0;0;0.0;12;528.5833333;0.0;0.02;0.0;0.0;Dec;8;13;9;20;Other;False
0;0.0;0;0.0;8;347.6666667;0.0875;0.10208333300000001;0.0;0.2;May;3;2;1;3;Returning_Visitor;False
9;406.4166667;0;0.0;21;352.4166667;0.026923077000000004;0.051538462;0.0;0.0;May;3;2;3;1;Returning_Visitor;True
0;0.0;0;0.0;27;190.25;0.016;0.04;0.0;0.2;May;2;2;3;3;Returning_Visitor;False
5;120.0;1;0.0;27;1583.5961539999998;0.0;0.028282828;39.63270309;0.0;Mar;2;2;4;2;Returning_Visitor;False
2;67.0;0;0.0;4;36.0;0.0;0.033333333;0.0;0.0;May;2;2;4;1;Returning_Visitor;False
2;10.3;0;0.0;142;4204.433333;0.009722221999999999;0.021345898999999998;0.7709918640000001;0.0;Jul;2;2;4;13;Returning_Visitor;False
0;0.0;0;0.0;16;630.75;0.0;0.04047619;0.0;0.0;Mar;3;2;1;1;Returning_Visitor;True
3;37.2;1;0.0;3;14.0;0.0;0.033333333;0.0;0.0;Sep;2;7;7;2;New_Visitor;True
0;0.0;0;0.0;179;5996.025;0.010388889;0.038277778;0.0;0.0;May;2;2;8;4;Returning_Visitor;True
0;0.0;0;0.0;1;0.0;0.2;0.2;0.0;0.0;May;2;2;1;3;Returning_Visitor;False
7;75.84615385;4;246.33333330000002;16;672.8794872000001;0.021428571;0.029027611000000002;0.0;0.0;May;1;1;1;3;Returning_Visitor;False
2;149.2;0;0.0;3;133.7333333;0.0;0.04;0.0;0.0;Oct;3;2;6;20;New_Visitor;False
2;41.5;0;0.0;22;1140.15;0.005555556;0.039814815;5.00765405;0.0;Nov;1;1;1;10;Returning_Visitor;False
3;123.5;1;0.0;22;759.5833332999999;0.0;0.0096;46.6785275;0.0;Nov;1;1;3;2;Returning_Visitor;False
0;0.0;0;0.0;6;203.0;0.1;0.108333333;0.0;0.0;May;1;1;3;4;Returning_Visitor;False
11;494.53333330000004;0;0.0;33;2070.6166670000002;0.0;0.020720721;9.581162201;0.0;Nov;2;5;1;3;Returning_Visitor;False
3;55.0;0;0.0;19;436.0;0.0;0.013636364;49.54827273;0.0;May;2;2;4;2;Returning_Visitor;True
0;0.0;0;0.0;1;0.0;0.2;0.2;0.0;0.0;Nov;8;2;9;3;Other;False
10;236.4083333;3;118.0;313;7428.181584;0.002509267;0.013416263000000001;6.976504629;1.0;May;2;2;3;2;Returning_Visitor;True
0;0.0;0;0.0;8;201.0;0.0;0.0625;0.0;0.0;Mar;2;4;2;1;Returning_Visitor;False
8;239.83333330000002;2;33.0;79;2650.4085019999998;0.0007662839999999999;0.005632184;0.0;0.0;May;2;4;1;6;Returning_Visitor;False
2;48.5;0;0.0;53;2438.075;0.005357143000000001;0.017261905;29.04476648;0.0;Nov;2;2;1;6;Returning_Visitor;True
12;225.25;1;0.0;129;3367.0412810000003;0.001428571;0.018456828999999998;1.03529974;0.0;Nov;2;4;1;10;Returning_Visitor;False
4;464.5;0;0.0;9;635.7238095;0.0;0.002777778;0.0;0.0;Jul;1;1;3;2;New_Visitor;False
0;0.0;0;0.0;64;3289.5;0.0;0.010416667;0.0;0.0;May;2;4;7;4;Returning_Visitor;True
0;0.0;0;0.0;19;866.3333332999998;0.0;0.025;14.58941181;0.0;Dec;2;4;3;2;Returning_Visitor;True
0;0.0;0;0.0;4;68.0;0.0;0.05;0.0;0.0;May;2;2;1;6;Returning_Visitor;False
0;0.0;0;0.0;1;0.0;0.2;0.2;0.0;0.0;Nov;1;8;2;1;Returning_Visitor;False
1;47.16666667;1;3.0;42;1462.659125;0.004651163;0.019047619;7.7349031010000004;0.0;May;2;2;6;4;Returning_Visitor;False
2;47.0;0;0.0;39;1743.3666670000002;0.0;0.016410256;78.93483561;0.0;Mar;3;3;2;1;Returning_Visitor;False
4;52.0;1;7.0;46;3087.0;0.003773585;0.021383647999999998;16.94643793;0.0;Mar;2;2;3;8;Returning_Visitor;False
4;112.0;0;0.0;39;1379.5;0.006349206;0.027777778;0.0;0.0;May;2;5;2;4;Returning_Visitor;False
0;0.0;0;0.0;4;135.5;0.0;0.05;0.0;0.6;Feb;2;2;1;2;Returning_Visitor;False
2;32.0;0;0.0;11;155.83333330000002;0.0;0.034615385;0.0;0.2;May;2;2;3;4;Returning_Visitor;False
0;0.0;0;0.0;200;6867.193847;0.006408856;0.024587384;0.0;0.0;Nov;2;2;1;2;Returning_Visitor;False
0;0.0;0;0.0;8;184.375;0.0;0.013333333000000001;0.0;0.0;Nov;1;2;9;2;Returning_Visitor;False
11;2047.234848;9;1146.666667;45;3641.213151;0.002636535;0.014311471000000001;7.753880157999999;0.0;Mar;2;2;1;2;Returning_Visitor;False
1;143.0;4;48.0;16;333.75;0.0;0.003333333;0.0;0.0;Mar;1;1;1;2;New_Visitor;False
1;43.66666667;0;0.0;57;4555.023810000001;0.0;0.030621469;9.102937419;0.0;May;2;2;1;1;Returning_Visitor;False
3;284.2;0;0.0;22;2366.6;0.036000000000000004;0.064;0.0;0.0;Oct;1;1;8;1;Returning_Visitor;True
3;35.0;0;0.0;7;117.08333329999999;0.0;0.04444444400000001;0.0;0.0;Nov;2;2;1;2;Returning_Visitor;False
9;219.25;2;31.0;18;374.38095239999996;0.0;0.007666666999999999;37.6992;0.0;May;1;1;1;5;New_Visitor;False
0;0.0;0;0.0;24;597.8333332999999;0.008333333;0.020833333;0.0;0.4;May;2;2;2;1;Returning_Visitor;False
0;0.0;0;0.0;22;2464.9;0.003030303;0.051515152;0.0;0.8;May;2;2;6;1;Returning_Visitor;False
0;0.0;0;0.0;21;499.75;0.00952381;0.033333333;0.0;0.0;Nov;2;4;3;10;Returning_Visitor;False
17;346.7096405;3;207.25;292;8282.214508;0.000977199;0.005669849;13.91832377;0.0;Nov;2;2;1;2;Returning_Visitor;True
5;119.15;0;0.0;17;457.2333333000001;0.0;0.0074074069999999995;0.0;0.0;May;3;2;3;2;Returning_Visitor;False
3;14.0;0;0.0;27;1585.666667;0.026666667;0.058333333;0.0;0.0;Mar;2;2;6;1;Returning_Visitor;True
0;0.0;0;0.0;3;6.0;0.066666667;0.133333333;0.0;0.6;May;2;2;1;1;Returning_Visitor;False
0;0.0;0;0.0;15;734.25;0.0;0.015384615;40.4014481;0.0;Dec;2;2;9;2;Returning_Visitor;False
1;14.0;0;0.0;6;156.0;0.0;0.04;0.0;0.0;Mar;1;1;3;1;Returning_Visitor;True
0;0.0;0;0.0;2;11.5;0.0;0.1;0.0;0.0;Dec;3;2;1;2;Returning_Visitor;True
2;33.0;0;0.0;25;1720.0;0.0;0.007692308;60.29018448;0.0;Mar;2;5;3;1;Returning_Visitor;False
0;0.0;0;0.0;1;0.0;0.2;0.2;0.0;0.0;Mar;3;2;3;1;Returning_Visitor;False
4;89.5;0;0.0;3;30.0;0.0;0.033333333;0.0;0.0;May;1;1;1;2;Returning_Visitor;True
3;34.0;1;14.0;89;1332.088889;0.0;0.003296703;0.0;0.0;May;1;2;7;3;Returning_Visitor;True
0;0.0;0;0.0;1;0.0;0.2;0.2;0.0;0.0;Nov;1;1;4;2;Returning_Visitor;False
11;1443.1;5;205.0;225;9595.649629000001;0.00455693;0.012050716000000001;9.242286032;0.0;Nov;2;2;4;2;Returning_Visitor;False
3;219.0;0;0.0;12;526.3333333;0.022222222000000003;0.058571429;0.0;0.0;Mar;1;1;3;1;Returning_Visitor;False
3;346.0;1;15.2;29;1107.216667;0.006060606;0.0067009719999999995;69.91439226;0.0;Nov;2;2;5;2;Returning_Visitor;False
0;0.0;0;0.0;15;455.5;0.0;0.014285714;0.0;0.0;May;2;10;3;2;New_Visitor;False
0;0.0;0;0.0;7;130.0;0.057142857000000005;0.085714286;0.0;0.0;Nov;2;5;9;10;Returning_Visitor;True
1;26.0;0;0.0;11;345.1666667;0.022222222000000003;0.008888889;0.0;0.0;May;1;1;4;3;Returning_Visitor;False
1;75.0;0;0.0;19;1773.375;0.011764706000000002;0.030392157000000003;28.11635484;0.0;Nov;2;2;1;13;Returning_Visitor;False
5;50.66666667;0;0.0;85;3731.079365;0.014942529;0.039042146;0.0;1.0;May;2;2;3;6;Returning_Visitor;True
5;28.0;0;0.0;6;80.0;0.0;0.028571429;0.0;0.0;Mar;2;4;3;1;Returning_Visitor;False
0;0.0;1;0.0;28;2743.216667;0.020689655;0.042528736;0.0;0.0;Mar;2;5;2;1;Returning_Visitor;False
0;0.0;0;0.0;2;7.0;0.0;0.1;0.0;0.0;Mar;2;5;6;1;Returning_Visitor;False
0;0.0;0;0.0;13;1314.083333;0.0;0.008333333;103.0610827;0.0;Dec;8;13;9;20;Other;False
0;0.0;1;0.0;20;581.5;0.015;0.051666667;0.0;0.0;Sep;2;2;1;1;Returning_Visitor;False
0;0.0;0;0.0;19;960.7333332999999;0.015789473999999998;0.051754386;0.0;0.0;May;2;2;4;6;Returning_Visitor;True
7;271.3333333;0;0.0;54;3510.416667;0.003571429;0.010714286000000002;9.865125;0.0;May;2;2;4;6;Returning_Visitor;False
12;187.27777780000002;3;88.58333333;43;3266.127778;0.004242424;0.043712340999999995;3.3323333330000002;0.0;Mar;1;1;1;10;Returning_Visitor;False
1;0.0;0;0.0;12;277.45;0.06;0.09;0.0;0.0;June;3;2;3;13;Returning_Visitor;False
0;0.0;0;0.0;26;810.3713767999999;0.019230768999999998;0.02530525;0.0;0.8;May;3;2;3;1;Returning_Visitor;False
0;0.0;0;0.0;12;265.1666667;0.011111111000000002;0.026111111;0.0;0.2;Feb;3;2;1;3;Returning_Visitor;False
1;21.0;0;0.0;31;945.6666667000002;0.006896551999999999;0.010344828;0.0;0.0;May;2;2;1;4;New_Visitor;False
2;154.6;2;69.6;20;479.1;0.0;0.009375;0.0;0.0;Sep;3;2;2;1;New_Visitor;False
1;67.5;0;0.0;28;873.64;0.0;0.006785714;0.0;0.0;Sep;3;2;1;6;Returning_Visitor;False
0;0.0;2;14.0;11;687.5;0.020512821;0.035897436;0.0;0.0;Mar;3;2;1;3;Returning_Visitor;True
0;0.0;0;0.0;21;197.33333330000002;0.00952381;0.041269841;0.0;0.8;May;2;10;7;4;Returning_Visitor;False
5;43.0;0;0.0;36;725.3333332999999;0.005714286;0.017142857;0.0;0.0;Sep;2;2;3;13;Returning_Visitor;False
2;6.0;0;0.0;9;89.5;0.0;0.058333333;0.0;0.0;Sep;1;1;4;4;Returning_Visitor;True
0;0.0;0;0.0;4;112.0;0.0;0.075;0.0;0.6;May;2;2;4;3;Returning_Visitor;False
7;101.08333329999999;0;0.0;26;349.1166667;0.006060606;0.023484848;39.41924911;0.0;Aug;2;4;3;4;Returning_Visitor;False
0;0.0;0;0.0;21;947.0;0.01;0.02;55.8486;0.0;May;2;2;1;5;New_Visitor;True
4;48.0;0;0.0;2;11.0;0.0;0.008;0.0;0.0;Mar;2;6;6;7;New_Visitor;False
4;99.5;0;0.0;3;21.25;0.0;0.05;0.0;0.0;Nov;1;1;2;8;New_Visitor;True
0;0.0;0;0.0;1;0.0;0.2;0.2;0.0;0.0;Mar;2;4;1;1;Returning_Visitor;True
3;82.6;0;0.0;33;598.7611111;0.0;0.007843137;0.0;0.0;Sep;2;2;2;1;Returning_Visitor;False
1;0.0;0;0.0;7;82.2;0.057142857000000005;0.11428571400000001;0.0;0.0;June;3;2;2;4;Returning_Visitor;False
2;27.58333333;0;0.0;22;420.2;0.008695652;0.01516165;0.0;0.0;May;3;2;1;4;Returning_Visitor;False
0;0.0;0;0.0;39;805.7916667000001;0.007692308;0.013846154;0.0;0.0;Dec;2;2;4;1;Returning_Visitor;False
8;121.16666670000001;0;0.0;70;961.5493506000001;0.005263158;0.013089192;26.27933158;0.4;May;2;2;2;3;Returning_Visitor;False
0;0.0;0;0.0;37;582.2666667000001;0.0;0.021959459;0.0;0.0;Nov;2;2;5;2;Returning_Visitor;False
0;0.0;0;0.0;31;641.6558915;0.0;0.005376344;60.04472938;0.0;Sep;1;1;4;2;New_Visitor;False
0;0.0;0;0.0;8;20.2;0.1;0.175;0.0;0.0;June;3;2;1;1;Returning_Visitor;False
0;0.0;0;0.0;27;954.6666667000002;0.0;0.003846154;0.0;0.0;Mar;2;2;1;2;Returning_Visitor;False
9;111.5;1;48.5;49;1868.819697;0.0;0.020708874;1.706014966;0.0;Mar;2;2;7;2;Returning_Visitor;False
9;358.2583333;3;377.4333333;64;5738.902193;0.0;0.020187793;12.08836478;0.0;Oct;2;2;1;13;Returning_Visitor;False
0;0.0;0;0.0;1;0.0;0.2;0.2;0.0;0.0;May;2;2;1;3;Returning_Visitor;False
0;0.0;0;0.0;19;1883.5;0.010526316;0.021052632;0.0;0.0;Mar;2;2;1;3;Returning_Visitor;False
2;48.4;0;0.0;2;37.2;0.0;0.05;0.0;0.0;June;1;1;1;2;Returning_Visitor;False
1;6.0;0;0.0;2;15.0;0.0;0.066666667;0.0;0.0;Oct;2;2;9;4;Returning_Visitor;False
0;0.0;0;0.0;3;0.0;0.2;0.2;0.0;0.8;May;3;2;1;3;Returning_Visitor;False
0;0.0;0;0.0;1;0.0;0.2;0.2;0.0;0.0;Mar;3;2;5;1;Returning_Visitor;False
10;1271.5;0;0.0;41;1221.138095;0.0;0.007801418;71.46597872;0.0;May;2;2;2;4;Returning_Visitor;False
4;99.125;0;0.0;38;876.3;0.0;0.0175;0.0;0.0;Nov;4;1;7;3;Returning_Visitor;False
1;56.4;1;14.2;24;1183.826667;0.0;0.005128205;0.0;0.0;Jul;2;2;8;2;New_Visitor;True
3;22.2;0;0.0;2;836.2;0.0;0.04;0.0;0.0;Sep;2;2;8;2;New_Visitor;True
1;77.0;0;0.0;9;312.0;0.0;0.04444444400000001;0.0;0.0;Mar;1;1;3;3;New_Visitor;True
0;0.0;0;0.0;18;521.5;0.022222222000000003;0.06333333299999999;0.0;0.0;May;2;2;6;6;Returning_Visitor;False
4;64.0;0;0.0;53;1200.892857;0.0018181820000000002;0.018030303;0.0;0.0;Mar;2;2;4;1;Returning_Visitor;True
3;19.0;1;106.0;17;475.66666669999995;0.0;0.023582766;0.0;0.0;Nov;1;10;3;2;Returning_Visitor;False
1;0.0;1;0.0;15;708.5333333;0.0;0.04;54.855430000000005;0.0;Mar;2;4;3;2;Returning_Visitor;False
0;0.0;0;0.0;2;5.0;0.0;0.1;0.0;0.0;Mar;2;2;1;2;Returning_Visitor;False
0;0.0;0;0.0;3;32.5;0.066666667;0.133333333;0.0;0.0;Dec;2;2;9;3;Returning_Visitor;True
0;0.0;0;0.0;16;2337.0;0.0;0.013333333000000001;17.76266667;0.0;Mar;2;2;1;1;Returning_Visitor;False
