[2020-Aug-03 19:23:30] Data: Administrative=5, Administrative_Duration=119,Informational=4, Informational_Duration=380,ProductRelated=4, ProductRelated_Duration=188,BounceRates=, ExitRates=0.006667, PageValues=,SpecialDay=5, Month=May, OperatingSystems=3,Browser=2, Region=3, TrafficType=4, VisitorType=Returning_Visitor,Weekend=
[2020-Aug-03 22:40:21] Data: Administrative=5, Administrative_Duration=119,Informational=4, Informational_Duration=380,ProductRelated=4, ProductRelated_Duration=188,BounceRates=, ExitRates=0.006667, PageValues=,SpecialDay=5, Month=May, OperatingSystems=3,Browser=2, Region=3, TrafficType=4, VisitorType=Returning_Visitor,Weekend=
[2020-Aug-03 22:40:59] Data: Administrative=5, Administrative_Duration=119,Informational=4, Informational_Duration=380,ProductRelated=4, ProductRelated_Duration=188,BounceRates=, ExitRates=0.006667, PageValues=,SpecialDay=5, Month=May, OperatingSystems=3,Browser=2, Region=3, TrafficType=4, VisitorType=Returning_Visitor,Weekend=
[2020-Aug-03 23:46:26] Data: Administrative=5, Administrative_Duration=119,Informational=4, Informational_Duration=380,ProductRelated=4, ProductRelated_Duration=188,BounceRates=, ExitRates=0.006667, PageValues=,SpecialDay=5, Month=May, OperatingSystems=3,Browser=2, Region=3, TrafficType=4, VisitorType=Returning_Visitor,Weekend=
[2020-Aug-03 23:48:46] Data: Administrative=5, Administrative_Duration=119,Informational=4, Informational_Duration=380,ProductRelated=4, ProductRelated_Duration=188,BounceRates=, ExitRates=0.006667, PageValues=,SpecialDay=5, Month=May, OperatingSystems=3,Browser=2, Region=3, TrafficType=4, VisitorType=Returning_Visitor,Weekend=
[2020-Aug-03 23:52:52] Data: Administrative=5, Administrative_Duration=119,Informational=4, Informational_Duration=380,ProductRelated=4, ProductRelated_Duration=188,BounceRates=, ExitRates=0.006667, PageValues=,SpecialDay=5, Month=May, OperatingSystems=3,Browser=2, Region=3, TrafficType=4, VisitorType=Returning_Visitor,Weekend=
[2020-Aug-03 23:54:13] Data: Administrative=5, Administrative_Duration=119,Informational=4, Informational_Duration=380,ProductRelated=4, ProductRelated_Duration=188,BounceRates=, ExitRates=0.006667, PageValues=,SpecialDay=5, Month=May, OperatingSystems=3,Browser=2, Region=3, TrafficType=4, VisitorType=Returning_Visitor,Weekend=
[2020-Aug-03 23:54:48] Data: Administrative=5, Administrative_Duration=119,Informational=4, Informational_Duration=380,ProductRelated=4, ProductRelated_Duration=188,BounceRates=, ExitRates=0.006667, PageValues=,SpecialDay=5, Month=May, OperatingSystems=3,Browser=2, Region=3, TrafficType=4, VisitorType=Returning_Visitor,Weekend=
[2020-Aug-04 00:05:43] Data: Administrative=5, Administrative_Duration=119,Informational=4, Informational_Duration=380,ProductRelated=4, ProductRelated_Duration=188,BounceRates=, ExitRates=0.006667, PageValues=,SpecialDay=5, Month=May, OperatingSystems=3,Browser=2, Region=3, TrafficType=4, VisitorType=Returning_Visitor,Weekend=
[2020-Aug-04 00:05:46] Data: Administrative=5, Administrative_Duration=119,Informational=4, Informational_Duration=380,ProductRelated=4, ProductRelated_Duration=188,BounceRates=, ExitRates=0.006667, PageValues=,SpecialDay=5, Month=May, OperatingSystems=3,Browser=2, Region=3, TrafficType=4, VisitorType=Returning_Visitor,Weekend=
[2020-Aug-04 00:08:30] Data: Administrative=5, Administrative_Duration=119,Informational=4, Informational_Duration=380,ProductRelated=4, ProductRelated_Duration=188,BounceRates=, ExitRates=0.006667, PageValues=,SpecialDay=5, Month=May, OperatingSystems=3,Browser=2, Region=3, TrafficType=4, VisitorType=Returning_Visitor,Weekend=
[2020-Aug-04 00:14:28] Data: Administrative=5, Administrative_Duration=119,Informational=4, Informational_Duration=380,ProductRelated=4, ProductRelated_Duration=188,BounceRates=, ExitRates=0.006667, PageValues=,SpecialDay=5, Month=May, OperatingSystems=3,Browser=2, Region=3, TrafficType=4, VisitorType=Returning_Visitor,Weekend=
[2020-Aug-04 00:24:53] Data: Administrative=5, Administrative_Duration=119,Informational=4, Informational_Duration=380,ProductRelated=4, ProductRelated_Duration=188,BounceRates=, ExitRates=0.006667, PageValues=,SpecialDay=5, Month=May, OperatingSystems=3,Browser=2, Region=3, TrafficType=4, VisitorType=Returning_Visitor,Weekend=
[2020-Aug-04 07:58:21] Data: Administrative=5, Administrative_Duration=119,Informational=4, Informational_Duration=380,ProductRelated=4, ProductRelated_Duration=188,BounceRates=, ExitRates=0.006667, PageValues=,SpecialDay=5, Month=May, OperatingSystems=3,Browser=2, Region=3, TrafficType=4, VisitorType=Returning_Visitor,Weekend=
[2020-Aug-04 08:00:14] Data: Administrative=5, Administrative_Duration=119,Informational=4, Informational_Duration=380,ProductRelated=4, ProductRelated_Duration=188,BounceRates=, ExitRates=0.006667, PageValues=,SpecialDay=5, Month=May, OperatingSystems=3,Browser=2, Region=3, TrafficType=4, VisitorType=Returning_Visitor,Weekend=
[2020-Aug-04 08:29:58] Data: Administrative=5, Administrative_Duration=119,Informational=4, Informational_Duration=380,ProductRelated=4, ProductRelated_Duration=188,BounceRates=0.0, ExitRates=0.006667, PageValues=0.0,SpecialDay=5, Month=May, OperatingSystems=3,Browser=2, Region=3, TrafficType=4, VisitorType=Returning_Visitor,Weekend=False
[2020-Aug-04 08:34:19] Data: Administrative=5, Administrative_Duration=119,Informational=4, Informational_Duration=380,ProductRelated=4, ProductRelated_Duration=188,BounceRates=0.0, ExitRates=0.006667, PageValues=0.0,SpecialDay=5, Month=May, OperatingSystems=3,Browser=2, Region=3, TrafficType=4, VisitorType=Returning_Visitor,Weekend=False
[2020-Aug-04 08:34:42] Data: Administrative=5, Administrative_Duration=119,Informational=4, Informational_Duration=380,ProductRelated=4, ProductRelated_Duration=188,BounceRates=0.0, ExitRates=0.006667, PageValues=0.0,SpecialDay=5, Month=May, OperatingSystems=3,Browser=2, Region=3, TrafficType=4, VisitorType=Returning_Visitor,Weekend=False
[2020-Aug-04 08:57:19] Data: Administrative=5, Administrative_Duration=119,Informational=4, Informational_Duration=380,ProductRelated=4, ProductRelated_Duration=188,BounceRates=0.0, ExitRates=0.006667, PageValues=0.0,SpecialDay=5, Month=May, OperatingSystems=3,Browser=2, Region=3, TrafficType=4, VisitorType=Returning_Visitor,Weekend=False
[2020-Aug-04 08:59:43] Data: Administrative=5, Administrative_Duration=119,Informational=4, Informational_Duration=380,ProductRelated=4, ProductRelated_Duration=188,BounceRates=0.0, ExitRates=0.006667, PageValues=0.0,SpecialDay=5, Month=May, OperatingSystems=3,Browser=2, Region=3, TrafficType=4, VisitorType=Returning_Visitor,Weekend=False
[2020-Aug-04 09:00:57] Data: Administrative=5, Administrative_Duration=119,Informational=4, Informational_Duration=380,ProductRelated=4, ProductRelated_Duration=188,BounceRates=0.0, ExitRates=0.006667, PageValues=0.0,SpecialDay=5, Month=May, OperatingSystems=3,Browser=2, Region=3, TrafficType=4, VisitorType=Returning_Visitor,Weekend=False
[2020-Aug-04 12:08:07] Data: Administrative=5, Administrative_Duration=119,Informational=4, Informational_Duration=380,ProductRelated=4, ProductRelated_Duration=188,BounceRates=0.0, ExitRates=0.006667, PageValues=0.0,SpecialDay=5, Month=May, OperatingSystems=3,Browser=2, Region=3, TrafficType=4, VisitorType=Returning_Visitor,Weekend=False
[2020-Aug-04 12:17:34] Data: Administrative=5, Administrative_Duration=119,Informational=4, Informational_Duration=380,ProductRelated=4, ProductRelated_Duration=188,BounceRates=0.0, ExitRates=0.006667, PageValues=0.0,SpecialDay=5, Month=May, OperatingSystems=3,Browser=2, Region=3, TrafficType=4, VisitorType=Returning_Visitor,Weekend=False
[2020-Aug-04 12:19:01] Data: Administrative=5, Administrative_Duration=119,Informational=4, Informational_Duration=380,ProductRelated=4, ProductRelated_Duration=188,BounceRates=0.0, ExitRates=0.006667, PageValues=0.0,SpecialDay=5, Month=May, OperatingSystems=3,Browser=2, Region=3, TrafficType=4, VisitorType=Returning_Visitor,Weekend=False
[2020-Aug-04 12:20:05] Data: Administrative=5, Administrative_Duration=119,Informational=4, Informational_Duration=380,ProductRelated=4, ProductRelated_Duration=188,BounceRates=0.0, ExitRates=0.006667, PageValues=0.0,SpecialDay=5, Month=May, OperatingSystems=3,Browser=2, Region=3, TrafficType=4, VisitorType=Returning_Visitor,Weekend=False
[2020-Aug-04 12:21:10] Data: Administrative=5, Administrative_Duration=119,Informational=4, Informational_Duration=380,ProductRelated=4, ProductRelated_Duration=188,BounceRates=0.0, ExitRates=0.006667, PageValues=0.0,SpecialDay=5, Month=May, OperatingSystems=3,Browser=2, Region=3, TrafficType=4, VisitorType=Returning_Visitor,Weekend=False
[2020-Aug-04 12:24:11] Data: Administrative=5, Administrative_Duration=119,Informational=4, Informational_Duration=380,ProductRelated=4, ProductRelated_Duration=188,BounceRates=0.0, ExitRates=0.006667, PageValues=0.0,SpecialDay=5, Month=May, OperatingSystems=3,Browser=2, Region=3, TrafficType=4, VisitorType=Returning_Visitor,Weekend=False
[2020-Aug-04 12:27:03] Data: Administrative=5, Administrative_Duration=119,Informational=4, Informational_Duration=380,ProductRelated=4, ProductRelated_Duration=188,BounceRates=0.0, ExitRates=0.006667, PageValues=0.0,SpecialDay=5, Month=May, OperatingSystems=3,Browser=2, Region=3, TrafficType=4, VisitorType=Returning_Visitor,Weekend=False
[2020-Aug-04 12:32:21] Data: Administrative=5, Administrative_Duration=119,Informational=4, Informational_Duration=380,ProductRelated=4, ProductRelated_Duration=188,BounceRates=0.0, ExitRates=0.006667, PageValues=0.0,SpecialDay=5, Month=May, OperatingSystems=3,Browser=2, Region=3, TrafficType=4, VisitorType=Returning_Visitor,Weekend=False
[2020-Aug-04 13:21:57] Data: Administrative=5, Administrative_Duration=119,Informational=4, Informational_Duration=380,ProductRelated=4, ProductRelated_Duration=188,BounceRates=0.0, ExitRates=0.006667, PageValues=0.0,SpecialDay=5, Month=May, OperatingSystems=3,Browser=2, Region=3, TrafficType=4, VisitorType=Returning_Visitor,Weekend=False
[2020-Aug-04 16:21:19] Data: Administrative=5, Administrative_Duration=119,Informational=4, Informational_Duration=380,ProductRelated=4, ProductRelated_Duration=188,BounceRates=0.0, ExitRates=0.006667, PageValues=0.0,SpecialDay=5, Month=May, OperatingSystems=3,Browser=2, Region=3, TrafficType=4, VisitorType=Returning_Visitor,Weekend=False
[2020-Aug-04 16:27:42] Data: Administrative=5, Administrative_Duration=119,Informational=4, Informational_Duration=380,ProductRelated=4, ProductRelated_Duration=188,BounceRates=0.0, ExitRates=0.006667, PageValues=0.0,SpecialDay=5, Month=May, OperatingSystems=3,Browser=2, Region=3, TrafficType=4, VisitorType=Returning_Visitor,Weekend=False
[2020-Aug-04 16:27:56] Data: Administrative=5, Administrative_Duration=119,Informational=4, Informational_Duration=380,ProductRelated=4, ProductRelated_Duration=188,BounceRates=0.0, ExitRates=0.006667, PageValues=0.0,SpecialDay=5, Month=May, OperatingSystems=3,Browser=2, Region=3, TrafficType=4, VisitorType=Returning_Visitor,Weekend=False
[2020-Aug-04 16:28:18] Data: Administrative=5, Administrative_Duration=119,Informational=4, Informational_Duration=380,ProductRelated=4, ProductRelated_Duration=188,BounceRates=0.0, ExitRates=0.006667, PageValues=0.0,SpecialDay=5, Month=May, OperatingSystems=3,Browser=2, Region=3, TrafficType=4, VisitorType=Returning_Visitor,Weekend=False
[2020-Aug-04 16:38:21] Data: Administrative=5, Administrative_Duration=119,Informational=4, Informational_Duration=380,ProductRelated=4, ProductRelated_Duration=188,BounceRates=0.0, ExitRates=0.006667, PageValues=0.0,SpecialDay=5, Month=May, OperatingSystems=3,Browser=2, Region=3, TrafficType=4, VisitorType=Returning_Visitor,Weekend=False
[2020-Aug-04 16:38:21] Exception: This RandomForestClassifier instance is not fitted yet. Call 'fit' with appropriate arguments before using this estimator.
[2020-Aug-04 16:39:20] Data: Administrative=5, Administrative_Duration=119,Informational=4, Informational_Duration=380,ProductRelated=4, ProductRelated_Duration=188,BounceRates=0.0, ExitRates=0.006667, PageValues=0.0,SpecialDay=5, Month=May, OperatingSystems=3,Browser=2, Region=3, TrafficType=4, VisitorType=Returning_Visitor,Weekend=False
